上厕所 7	8	33	104	4
购物	3018	3019	113	104	4
玩原神	3019	3020	33	104	4
跑步	3020	3021	71	104	4
上厕所	3021	3022	33	104	4
上厕所	3031	3032	33	104	4
取快递	3042	3043	3	104	4
洗衣服	3042	3043	33	104	4
购物	3042	3043	113	104	4
玩原神	3043	3044	33	104	4
跑步	3044	3045	71	104	4
上厕所	3045	3046	33	104	4
